Address,Old_Address,Latitude,Longitude,GeoAddress
"89 Hudson  Street, 11726","89 Hudson Street, Copiague, NY  11726",40.69331705,-73.39873315,"89, Hudson Street, Suffolk County, New York, 11726, United States"
"260 39th  Street, 10018","260 West 39th Street, Suite 302, New York, New York 10018",40.774567387755106,-74.0235864489796,"260, 39th Street, Union City, Hudson County, New Jersey, 07087, United States"
440 Park  Ave  10018,"440 Park Ave South, 3rd Floor, New York, NY 10018",40.745119722976504,-74.03150870417754,"440, Park Avenue, Hoboken, Hudson County, New Jersey, 07030, United States"
"175 Hills  Drive, 10312","175 Rolling Hills Drive, Staten Island, NY 10312",31.989094,-93.630417,"State Route 175, Highland Park, De Soto Parish, Louisiana, 71032, United States"
" Snowdrift  Road, 18106","6990A Snowdrift Road, Allentown, PA 18106",40.533517,-75.860596,"Snowdrift Road, Greenwich Township, Berks County, Pennsylvania, 19534, United States"
"95 95th  Street, 10025","95 West 95th Street, Suite 10-C, New York, NY  10025",40.7702032,-73.8755357,"95th Street, North Beach, Queens, Queens County, New York, 11369, United States"
"300 Industry  Drive, 15275","300 Industry Drive, Pittsburgh,  PA  15275",40.4581003,-80.1992433,"Industry Drive, RIDC Park West, Findlay Township, Allegheny County, Pennsylvania, 15275, United States"
399 Knollwood  Road  10603,"399 Knollwood Road Suite 208, White Plains NY 10603",41.0475042,-73.802148,"Crosswest Office Building, 399, Knollwood Road, Elmsford, White Plains, Westchester County, New York, 10603, United States"
" DELL  WAY, 78682","ONE DELL WAY, MS RR8-07, ROUND ROCK, TX  78682",30.4868577,-97.6668546,"Dell Way, Dell, Round Rock, Williamson County, Texas, 78664, United States"
"150 Laser  Court, 11788","150 Laser Court, Hauppage, NY 11788",40.811981450000005,-73.26362633552637,"150, Laser Court, Hauppauge, Suffolk County, New York, 11788, United States"
" Dell  Way, 78682","One Dell Way, Rr8-07, Round Rock, TX  78682",30.4868577,-97.6668546,"Dell Way, Dell, Round Rock, Williamson County, Texas, 78664, United States"
