Address,Geo_Address,Latitude,Longitude
Xerox Corporation,"Xerox Corporation, Six Forks Road, North Hills, Raleigh, Wake County, North Carolina, 27609-5287, United States",35.8431837,-78.6441986
"Union Street,  Athens,    NY  12015","Union Street, Athens, Town of Athens, Greene County, New York, 12015, United States",42.273807,-73.813212
"Union Street,      Athens,     NY      12015","Union Street, Athens, Town of Athens, Greene County, New York, 12015, United States",42.273807,-73.813212
"Two Riverview Drive, Somerset, NJ 08873","Riverview Drive, Franklin Township, Somerset County, New Jersey, 08805, United States",40.547175,-74.554127
"Two Penn Plaza, NY, NY 10121","Two Penn Plaza, 2, 7th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10001, United States",40.7499284,-73.9922321185069
"Two Penn Plaza, New York NY 10121","Two Penn Plaza, 2, 7th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10001, United States",40.7499284,-73.9922321185069
"Two Penn Plaza, 8th Floor, New York, NY 10121","Two Penn Plaza, 2, 7th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10001, United States",40.7499284,-73.9922321185069
"Two Penn Plaza, #0603, New York , NY 10121","Two Penn Plaza, 2, 7th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10001, United States",40.7499284,-73.9922321185069
"Two Penn Plaza, #0603 New York, NY 10121","Two Penn Plaza, 2, 7th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10001, United States",40.7499284,-73.9922321185069
"Two Penn Plaza New York, NY 10121","Two Penn Plaza, 2, 7th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10001, United States",40.7499284,-73.9922321185069
"Two Penn Plaza 8th Floor, New York, NY 10121","Two Penn Plaza, 2, 7th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10001, United States",40.7499284,-73.9922321185069
"Two International Drive, Portsmouth, NH  03801","International Drive, Pease International Tradeport, Portsmouth, Rockingham County, New Hampshire, 03801, United States",43.0764369,-70.7993133
"Two Gateway Center, Newark, NJ 07102","Two Gateway Center, Commerce Street, Teachers Village, Newark, Essex County, New Jersey, 07102, United States",40.7350881,-74.1667076056569
"THREE CRESCENT DRIVE, PHILADELPHIA PA 19912","Three Crescent Drive, 3, Crescent Drive, The Navy Yard, South Philadelphia, Philadelphia, Philadelphia County, Pennsylvania, 19112, United States",39.8959836,-75.1740411606452
"Third Avenue, NY NY 10017","Third Avenue, The Bronx, Bronx County, New York, 10454-4606, United States",40.808953,-73.9302345
"Ten Post Office Square, Boston, MA 02109","Ten Post Office Square North, Ten, Post Office Square, Dock Square, Financial District, Boston, Suffolk County, Massachusetts, 02110, United States",42.35751975,-71.0559308899948
"Staten Island, Ny 10310","Staten Island, Richmond County, New York, United States",40.5834557,-74.1496048
"Sas Campus Drive, Cary, North Carolina, 27513","SAS Campus Drive, Cary, Wake County, North Carolina, 27513-4997, United States",35.8293707,-78.7657201
"Saratoga Springs, N.Y. 12866","Saratoga Springs, City of Saratoga Springs, Saratoga County, New York, 12866, United States",43.0821793,-73.7853915
"Rye, New York","Rye, Westchester County, New York, 10580, United States",40.9808209,-73.684294
"Route, Colliersville, N.Y.  13747","Colliersville, Town of Milford, Otsego County, New York, 13747, United States",42.4909119,-74.9821045
"Riceboro, Georgia, 31323","Riceboro, Liberty County, Georgia, 31323, United States",31.7354935,-81.4334408
"Riceboro, Georgia  31323","Riceboro, Liberty County, Georgia, 31323, United States",31.7354935,-81.4334408
"Poughkeepsie, New York  12603","Town of Poughkeepsie, Dutchess County, New York, 12603, United States",41.6790793382983,-73.8828145801981
"PO Box 936232, Atlanta GA 31193-6232","Rice Box, Atlanta BeltLine Eastside Trail, Old Fourth Ward, Atlanta, Fulton County, Georgia, 30308, United States",33.7803297,-84.3679602
PO Box 911787 Dallas TX 75391-1787,"Jack in the Box, 6355, East Mockingbird Lane, Dallas, Dallas County, Texas, 75214, United States",32.8367971,-96.7533190225045
PO BOX 9 ALBANY NY 12201,"9, Country Ridge, Town of Colonie, Albany County, New York, United States",42.76432025,-73.8717339303759
"PO Box 824242, Philadelphia, PA 19182","American Box and Recycling Corporate Office, West Luzerne Street, Hunting Park, Philadelphia, Philadelphia County, Pennsylvania, 19140, United States",40.01246925,-75.1450531179347
