Address,Geo_Address,Latitude,Longitude
"x x, Xalapa","X 24, Prolongacion Pípila, Jardines de Xalapa, Xalapa, Veracruz de Ignacio de la Llave, 91143, México",19.5457626,-96.9081223
"X X, Corona","Corona, Antonio Varas, Villa Michaely, Puerto Montt, Provincia de Llanquihue, Región de Los Lagos, 5503778, Chile",-41.4726879,-72.9439089
"X X, Brooklyn","Avenue X, Shell Road, Gravesend, Brooklyn, Kings County, New York, 11223, United States",40.5896199,-73.97425
"Wolfe Street, Baltimore","North Wolfe Street, Broadway East, Baltimore, Maryland, 21213, United States",39.3127333,-76.5917638
"William Street, New York","William Street, Sloan, Cheektowaga, Erie County, New York, 14206, United States",42.8844963,-78.7918943
"West 83rd, New York","83rd Avenue, Queens, Queens County, New York, 11435, United States",40.712539,-73.821083
"West 46th, New York","46th Street, Broadway, Queens, Queens County, New York, 11373, United States",40.7566484,-73.9140858
"West 4 street, New York","Strand Bookstore, 828, Broadway, Washington Square Village, Greenwich Village, Manhattan, New York County, New York, 10003, United States",40.7332796,-73.9909401
"West 38th, New York","Beach 38th Street, Sea Gate, Brooklyn, Kings County, New York, 11224, United States",40.5740847,-74.004098
"West 38, New York","New York, Ladybridge, Bolton, Greater Manchester, North West England, England, BL3 4NQ, United Kingdom",53.5674522,-2.4741216
"West 34th street, New York","West 34th Street, Garment District, Manhattan, New York County, New York, 10001, United States",40.7526668,-73.9945996
"W 46th street, New York ny","West 46th Street, Hell's Kitchen, Manhattan, New York County, New York, 10036, United States",40.7633783,-73.9964573
"W 14th Street, New York","West 14th Street, West Village, Manhattan, New York County, New York, 10011-6832, United States",40.7383446,-73.9991888
"Various Various, New York","Various, One, Computer Associates Plaza, CA Technologies Campus (Formerly Computer Associates), Islandia, Suffolk County, New York, 11749, United States",40.81108065,-73.1747028478943
"Ups drive, Secaucus","UPS Drive, Secaucus, Hudson County, New Jersey, 07094, United States",40.7787993,-74.0607303
"Upper Centre Street, New York","Centre Street, Hoosick Falls, Town of Hoosick, Rensselaer County, New York, 12090, United States",42.893544,-73.341318
"Union square, New York","Union Square, Manhattan, New York County, New York, United States",40.7359091,-73.9901626
"Two University Plaza Drive, HACKENSACK","University Plaza Drive, Hackensack, Bergen County, New Jersey, 07601, United States",40.8960255,-74.0391045
"Two Penn Plaza, New York","Two Penn Plaza, 2, 7th Avenue, Manhattan Community Board 5, Manhattan, New York County, New York, 10001, United States",40.7499284,-73.9922321185069
"Two Gateway center, Newark","Two Gateway Center, Commerce Street, Teachers Village, Newark, Essex County, New Jersey, 07102, United States",40.7350881,-74.1667076056569
"tweed tweed, new york","Tweed Courthouse, 52, Chambers Street, Lower Manhattan, Civic Center, Manhattan, New York County, New York, 10007, United States",40.713399,-74.0055429477019
"Tweed Courthouse, 52 Chambers Street, New York","Tweed Courthouse, 52, Chambers Street, Lower Manhattan, Civic Center, Manhattan, New York County, New York, 10007, United States",40.713399,-74.0055429477019
"Tompkins ave, Staten Island","Tompkins Avenue, Fort Wadsworth, Staten Island, Richmond County, New York, 10305, United States",40.6044487,-74.0653278
"Times Square Tower, New York","Times Square Tower, 7, Broadway, Times Square, Manhattan, New York County, New York, 10019, United States",40.7555015,-73.9869027553208
"Tiffany Tiffany Street, Bronx","Tiffany Street & Randall Avenue, Tiffany Street, The Bronx, Bronx County, New York, 10459, United States",40.8118589,-73.890493
"The Helmsley Building, New York, NY,, New York","Helmsley Building, Park Avenue, Midtown East, Manhattan, New York County, New York, 10037, United States",40.75439335,-73.9761028409213
"The Capitol Building, Albany","Capitol Building, Borongan-Guiuan Road, Bato, Eastern Samar, Eastern Visayas, 6800, Luzon",11.6032076,125.438234047177
"The brooklyn writers space, Brooklyn","Brooklyn Writers Space, 185, 1st Street, Park Slope, Brooklyn, Kings County, New York, 11215, United States",40.6762092,-73.9865255
"SUNY Plaza, Albany","SUNY System Administration Building, 353, Broadway, Downtown, Albany, Albany County, New York, 12207, United States",42.6480287,-73.74946085
"State street, Albany","State Street, Downtown, Albany, Albany County, New York, 12207, United States",42.6492968,-73.7516964
"Stafford Kensington High Street, London","Stafford Court, Kensington High Street, Earl's Court, Royal Borough of Kensington and Chelsea, London, Greater London, England, W8 7DS, United Kingdom",51.50018005,-0.19610165425708
"St Luke’s hospital, New york","St. Luke's Hospital, Champlin Avenue, City of Utica, Town of New Hartford, Oneida County, New York, 13495, United States",43.09668615,-75.2764003870286
"Spencer st Brooklyn ny, Brooklyn","Spencer Street, Brooklyn, Kings County, New York, 11205, United States",40.6947836,-73.9552161
"South Lincoln, Keene","South Lincoln Street, Keene, Cheshire County, New Hampshire, 03431, United States",42.9343845,-72.2671186
"Social Sciences Building, New York","Social Sciences Building, North Lane, Schenectady, Schenectady County, New York, 12305:12309, United States",42.8173984,-73.9287063
"Snyder Ave, Brooklyn","Snyder Avenue, Brooklyn Community District 17, Brooklyn, Kings County, New York, 11203, United States",40.6488589,-73.9508515
"Shimon Hatarsi 49, Tel Aviv-Yafo","49, שמעון התרסי, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, נפת תל אביב, מחוז תל אביב, no, ישראל",32.094865,34.783311
"Santiago Jardin Alto 7820, Santiago","Jardín Alto, Condominio Parque la Portada, La Florida, Provincia de Santiago, Región Metropolitana de Santiago, 022, Chile",-33.5235648,-70.5613059
"S60 169th St, New York","169th Street, Hillside Avenue, Hillside, Queens, Queens County, New York, 11427, United States",40.71047,-73.793604
"Ram Ave, Ramsey","The Ram, B1040, St Thomas Park, Ramsey, Huntingdonshire, Cambridgeshire, East of England, England, PE26 1JD, United Kingdom",52.4552578,-0.1138173
"PS #56, Richmond Hill","Wade Passage, Arena Quarter, Lovell Park, Leeds, West Yorkshire, Yorkshire and the Humber, England, LS2 8NZ, United Kingdom",53.8030857,-1.5434549
"Private Private, Private","Private, Area J (Copper Desert Country), Thompson-Nicola Regional District, British Columbia, Canada",50.53504705,-120.63850172909
"Private Private, Manhattan","Private Property Footpath, Manhattan, Riley County, Kansas, 66503-3026, United States",39.1748743,-96.5945726
"Private home, Brooklyn","Private home, 910, Meadow Oaks Drive, Arlington, Tarrant County, Texas, 76010, United States",32.730456,-97.0964193
"PO PO Box, Rockaway Park","Green Room Cafe, Eastcourt Road, Clutton, Temple Cloud, Bath and North East Somerset, South West England, England, BS39 5BU, United Kingdom",51.3182859,-2.5339644
"PO Box 980970, Park City","PO box, Russell Road, Paoli, Tredyffrin Township, Chester County, Pennsylvania, 19301, United States",40.0434073,-75.4619552
"PO Box 98, New York","98, Queens, Queens County, New York, 11369, United States",40.7692088,-73.8578653
"po box 9, yonkers","9, Saw Mill River Parkway, Grey Oaks, Yonkers, Westchester County, New York, 10703, United States",40.9675915,-73.8711197
"PO Box 520048, Flushing","4 Choice 1 Soup Lunch Box, 136-75, Roosevelt Avenue, Queens, Queens County, New York, 11354, United States",40.7603809,-73.8275173
"PO Box 5034, Springfield","Springfield & Highland (Flag stop - signal driver), Springfield Street, Wilbraham, Hampden County, Massachusetts, 01095, United States",42.119652,-72.463989
"PO Box 43884, Washington","Paseo, 1760, 1st Avenue South, International District/Chinatown, Seattle, King County, Washington, 98134, United States",47.586467,-122.333783558846
"PO Box 360524, Brooklyn","Vine Box, Nassau Avenue, Greenpoint, Brooklyn, Kings County, New York, 11222, United States",40.7251101,-73.9460313
"PO Box 1462, New York","Key Food, 116-34, Queens Boulevard, Kew Gardens, Queens, Queens County, New York, 11375, United States",40.71515465,-73.8330067646914
"PO 1577, Long Island City","Long Island City, Borden Avenue, Hunters Point, Queens, Queens County, New York, 11109, United States",40.7415095,-73.9569751
"Pier 86 West 46th street, New York","Pier 86, West 46th Street, Manhattan Community Board 4, Manhattan, New York County, New York, 100036, United States",40.76503575,-74.00056525966
"Pier 25 Hudson River Park, New York","Hudson River Park, Hudson River Park Esplanade, Manhattan Community Board 4, Manhattan, New York County, New York, 100, United States",40.7645382,-73.9988094
"Pentagon Army navy Drive, Washington DC","DoubleTree by Hilton Hotel Washington DC - Crystal City, 300, Army Navy Drive, Pentagon City, Arlington, Arlington County, Virginia, 22202, United States",38.86408655,-77.0528266599562
"Peebles Architects, Brooklyn","D&H Farmer Chartered Architects, 2, Elcho Street Brae, Peebles, Scottish Borders, Scotland, EH45 8JA, United Kingdom",55.6522095,-3.1929838
"Park Avenue South, New York","Park Avenue South, Flatiron District, Manhattan, New York County, New York, 10016, United States",40.7408251,-73.9858246
"Park Ave Park Avenue, New york","Park Avenue Park, Highland Mills, Woodbury, Town of Woodbury, Orange County, New York, United States",41.3460597,-74.1264631265549
"P.O.Box Na, NY","Northern State Parkway, Hicksville, Oyster Bay, Nassau County, New York, 11753, United States",40.774105,-73.547265
"P.O. Box 9, Purchase","9, Wild River Road, Bean's Purchase, Coos County, New Hampshire, United States",44.3051966,-71.0641609621027
"P.O. Box 604663, Bay Terrace","P.O. Box, 8, Via Luigi Riva, Sciarè, Gallarate, Varese, Lombardia, 21013, Italia",45.6662045,8.7952074
"P.O. Box 177, New York","177, Bear Trail, Town of Gardiner, Ulster County, New York, 12525, United States",41.6791769,-74.16388685
"P.o box 676, New York","New York, Excellence Estates 2, Nassau, New Providence, The Bahamas",25.010423,-77.4024183
"P O Box 15, New York","New York, Excellence Estates 2, Nassau, New Providence, The Bahamas",25.010423,-77.4024183
"One World Trade Center, New York","One World Trade Center, 285, Fulton Street, Financial District, Manhattan, New York County, New York, 10048, United States",40.7130186,-74.013178599954
"ONe World Trade Center, New York","One World Trade Center, 285, Fulton Street, Financial District, Manhattan, New York County, New York, 10048, United States",40.7130186,-74.013178599954
"One Whitehall Street, New York","Whitehall Street, Manhattan Community Board 1, Manhattan, New York County, New York, 10004, United States",40.7018402,-74.0126568
"One West 4th street, New York","1701, Rhode Island Avenue Northwest, Golden Triangle, Washington, District of Columbia, 20036, United States",38.9066092,-77.0390810400847
"One Times Square, New York","One Times Square, 1, 7th Avenue, Times Square, Manhattan, New York County, New York, 10019, United States",40.75621285,-73.9865338595052
"One State Street, New York","State Street, Town of Bridgewater, Oneida County, New York, 13491, United States",42.882201,-75.206672
"One State Street Plaza, New York","One State Street Plaza, 1, State Street Plaza, Manhattan Community Board 1, Manhattan, New York County, New York, 10004, United States",40.70281035,-74.0133416085417
"One Roseland Drive, Roseland","Roseland Drive, Roseland, Lincoln County, North Carolina, 28092, United States",35.446044,-81.2741204
